 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  13. 3.    Time:  12:47:13
 Units: L = mm   , T = days , M = mmol 
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.00110.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     T     F     F     T     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
 109   -540.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 110   -545.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 111   -550.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 112   -555.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 113   -560.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 114   -565.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 115   -570.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 116   -575.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 117   -580.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 118   -585.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 119   -590.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 120   -595.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 121   -600.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 122   -605.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 123   -610.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 124   -615.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 125   -620.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 126   -625.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 127   -630.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 128   -635.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 129   -640.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 130   -645.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 131   -650.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 132   -655.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 133   -660.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 134   -665.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 135   -670.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 136   -675.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 137   -680.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 138   -685.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 139   -690.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 140   -695.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 141   -700.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 142   -705.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 143   -710.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 144   -715.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 145   -720.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 146   -725.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 147   -730.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 148   -735.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 149   -740.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 150   -745.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 151   -750.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 152   -755.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 153   -760.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 154   -765.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 155   -770.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 156   -775.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 157   -780.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 158   -785.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 159   -790.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 160   -795.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 161   -800.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 162   -805.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 163   -810.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 164   -815.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 165   -820.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 166   -825.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 167   -830.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 168   -835.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 169   -840.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 170   -845.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 171   -850.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 172   -855.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 173   -860.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 174   -865.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 175   -870.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 176   -875.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 177   -880.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 178   -885.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 179   -890.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 180   -895.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 181   -900.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 182   -905.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 183   -910.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
 184   -915.000  -1000.000    1    1   0.000    1.000    1.000    1.000   20.00  0.0000E+00
