 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  13. 3.    Time:  12:52:40
 Units: L = mm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   66    325.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   67    330.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   68    335.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   69    340.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   70    345.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   71    350.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   72    355.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   73    360.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   74    365.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   75    370.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   76    375.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   77    380.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   78    385.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   79    390.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   80    395.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   81    400.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   82    405.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   83    410.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   84    415.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   85    420.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   86    425.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   87    430.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   88    435.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   89    440.00     0.060     0.410    -200.0   0.360E+04     1.000     0.001     1.000     1.000     1.000
   90    445.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   91    450.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   92    455.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   93    460.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   94    465.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   95    470.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   96    475.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   97    480.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   98    485.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
   99    490.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  100    495.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  101    500.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  102    505.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  103    510.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  104    515.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  105    520.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  106    525.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  107    530.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  108    535.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  109    540.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  110    545.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  111    550.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  112    555.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  113    560.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  114    565.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  115    570.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  116    575.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  117    580.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  118    585.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  119    590.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  120    595.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  121    600.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  122    605.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  123    610.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  124    615.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  125    620.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  126    625.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  127    630.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  128    635.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  129    640.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  130    645.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  131    650.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  132    655.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  133    660.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  134    665.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  135    670.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  136    675.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  137    680.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  138    685.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  139    690.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  140    695.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  141    700.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  142    705.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  143    710.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  144    715.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  145    720.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  146    725.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  147    730.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  148    735.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  149    740.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  150    745.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  151    750.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  152    755.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  153    760.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  154    765.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  155    770.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  156    775.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  157    780.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  158    785.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  159    790.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  160    795.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  161    800.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  162    805.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  163    810.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  164    815.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  165    820.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  166    825.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  167    830.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  168    835.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  169    840.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  170    845.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  171    850.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  172    855.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  173    860.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  174    865.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  175    870.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  176    875.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  177    880.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  178    885.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  179    890.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  180    895.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  181    900.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  182    905.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  183    910.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
  184    915.00     0.060     0.410    -200.0   0.360E+04     1.000     0.000     1.000     1.000     1.000
