 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 2.    Time:  14:52:57
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.41165E+01 -0.17119E-09 -0.75000E+02  0.60000E+02 -0.75000E+02  0.34839E+02 -0.17119E-08 -0.37586E+03 -0.30665E+04 -0.10000E+04  0.00000E+00  0.42747E-03  0.11157E+03  0.75000E+02  0.00000E+00  10046  0.00000E+00      0.000
      20.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.52674E+01 -0.17119E-09 -0.15000E+03  0.12000E+03 -0.15000E+03  0.82754E+02 -0.34238E-08 -0.37586E+03 -0.18507E+04 -0.10000E+04  0.26226E-04  0.91885E-03  0.13866E+03  0.15000E+03  0.00000E+00  21735  0.00000E+00      0.000
      30.0000 -0.75000E+01  0.60000E+01 -0.75001E+01  0.55975E+01 -0.17119E-09 -0.22500E+03  0.18000E+03 -0.22500E+03  0.13747E+03 -0.51358E-08 -0.37586E+03 -0.86488E+03 -0.10000E+04  0.67711E-04  0.14167E-02  0.15895E+03  0.22500E+03  0.00000E+00  33659  0.00000E+00      0.000
      40.0000 -0.75000E+01  0.60000E+01 -0.74999E+01  0.55817E+01 -0.17119E-09 -0.30000E+03  0.24000E+03 -0.30000E+03  0.19352E+03 -0.68477E-08 -0.37586E+03 -0.39065E+03 -0.10000E+04  0.64373E-04  0.19130E-02  0.17790E+03  0.30000E+03  0.00000E+00  45636  0.00000E+00      0.000
      50.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.55708E+01 -0.17119E-09 -0.37500E+03  0.30000E+03 -0.37500E+03  0.24925E+03 -0.85595E-08 -0.37586E+03 -0.38774E+03 -0.10000E+04  0.19073E-04  0.24063E-02  0.19717E+03  0.37500E+03  0.00000E+00  57632  0.00000E+00      0.000
      60.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.55716E+01 -0.17119E-09 -0.45000E+03  0.36000E+03 -0.45000E+03  0.30496E+03 -0.10271E-07 -0.37586E+03 -0.38679E+03 -0.10000E+04  0.27657E-04  0.29063E-02  0.21645E+03  0.45000E+03  0.00000E+00  69643  0.00000E+00      0.000
      70.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.55718E+01 -0.17119E-09 -0.52500E+03  0.42000E+03 -0.52500E+03  0.36068E+03 -0.11983E-07 -0.37586E+03 -0.38644E+03 -0.10000E+04  0.39577E-04  0.33984E-02  0.23573E+03  0.52500E+03  0.00000E+00  81654  0.00000E+00      0.000
      80.0000 -0.75000E+01  0.60000E+01 -0.75000E+01  0.55718E+01 -0.17119E-09 -0.59999E+03  0.48000E+03 -0.59999E+03  0.41640E+03 -0.13695E-07 -0.37586E+03 -0.38631E+03 -0.10000E+04  0.17166E-04  0.38883E-02  0.25500E+03  0.59999E+03  0.00000E+00  93636  0.00000E+00      0.000
